date,close,open,high,low,volume,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
2024-04-01,68400,69100,70000,68000,739530,50910956800,0,0.0,N,5,-1100,
2024-04-02,68900,67500,70000,67100,1333450,91860527700,0,0.0,N,2,500,
2024-04-03,67300,68900,69300,67300,1515589,102851630589,0,0.0,N,5,-1600,
2024-04-04,69500,68100,70600,67700,1134908,78827290600,0,0.0,N,2,2200,
2024-04-05,69100,68400,70000,68400,859793,59797300776,0,0.0,N,5,-400,
2024-04-08,69300,68900,70700,68700,813994,56944259300,0,0.0,N,2,200,
2024-04-09,69100,70700,70700,69000,718818,50029637600,0,0.0,N,5,-200,
2024-04-11,68300,64500,69200,64500,2899225,195195358861,0,0.0,N,5,-800,
2024-04-12,66300,67400,67400,65400,1761052,116670114900,0,0.0,N,5,-2000,
2024-04-15,66200,66200,66900,64200,1368363,89768043300,0,0.0,N,5,-100,
2024-04-16,64400,65300,65600,63600,1391662,89747746800,0,0.0,N,5,-1800,
2024-04-17,63100,64400,65100,63000,1023648,65274428950,0,0.0,N,5,-1300,
2024-04-18,64000,63500,64800,63100,1298020,83075747500,0,0.0,N,2,900,
2024-04-19,63700,63300,63900,62000,973239,61370087800,0,0.0,N,5,-300,
2024-04-22,69500,65700,70200,65700,1586956,108971607600,0,0.0,N,2,5800,
2024-04-23,70200,70500,73200,69800,2285085,163568629800,0,0.0,N,2,700,
2024-04-24,68900,69900,71600,68700,997947,69978918700,0,0.0,N,5,-1300,
2024-04-25,69300,68300,70600,68200,745906,51974408568,0,0.0,N,2,400,
2024-04-26,76000,73000,76900,72000,2421484,181720360100,0,0.0,N,2,6700,
2024-04-29,76600,74100,78000,74000,1741772,132941113500,0,0.0,N,2,600,
2024-04-30,75600,76000,76800,74200,1776194,134464541470,0,0.0,N,5,-1000,
2024-05-02,72300,73500,75100,71900,1513058,110816557600,0,0.0,N,5,-3300,
2024-05-03,73700,73200,75200,73000,934829,69356410600,0,0.0,N,2,1400,
2024-05-07,73900,73200,75300,73000,1154827,85170765600,0,0.0,N,2,200,
2024-05-08,77700,74500,77900,74300,1562656,120346927872,0,0.0,N,2,3800,
