date,close,open,high,low,volume,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
2024-04-01,13420,13450,13620,13310,10677,143797390,0,0.0,N,2,30,
2024-04-02,13080,13780,13780,13050,27682,366468340,0,0.0,N,5,-340,
2024-04-03,12880,13010,13500,12850,21586,278830220,0,0.0,N,5,-200,
2024-04-04,12740,13200,13200,12700,22215,283746650,0,0.0,N,5,-140,
2024-04-05,12740,12740,12870,12590,19117,242325860,0,0.0,N,3,0,
2024-04-08,12520,12870,12870,12500,17459,218898570,0,0.0,N,5,-220,
2024-04-09,12560,12480,13120,12470,17209,217329700,0,0.0,N,2,40,
2024-04-11,12520,12300,12850,12300,11182,139808240,0,0.0,N,5,-40,
2024-04-12,12200,12520,12590,12200,35577,441607400,0,0.0,N,5,-320,
2024-04-15,12450,12170,12490,11950,39682,484412440,0,0.0,N,2,250,
2024-04-16,12210,12400,12400,12120,24132,294530250,0,0.0,N,5,-240,
2024-04-17,12300,12240,12600,12220,26287,324824630,0,0.0,N,2,90,
2024-04-18,12490,12200,12900,12200,20698,256265240,0,0.0,N,2,190,
2024-04-19,12650,12360,12720,12330,18779,235936860,0,0.0,N,2,160,
2024-04-22,12610,12620,12840,12390,13209,165059180,0,0.0,N,5,-40,
2024-04-23,12450,12550,12630,12350,15318,190972510,0,0.0,N,5,-160,
2024-04-24,12700,12470,12770,12450,14791,186496360,0,0.0,N,2,250,
2024-04-25,12490,12660,12830,12490,12111,152650420,0,0.0,N,5,-210,
2024-04-26,12440,12510,12730,12380,9238,115298040,0,0.0,N,5,-50,
2024-04-29,12650,12400,12730,12380,10192,128368380,0,0.0,N,2,210,
2024-04-30,12640,12800,12810,12560,9275,117034730,0,0.0,N,5,-10,
2024-05-02,13060,12610,13110,12550,35337,457436700,0,0.0,N,2,420,
2024-05-03,12850,13060,13250,12780,21771,280351430,0,0.0,N,5,-210,
2024-05-07,12710,12850,12980,12620,18614,235923920,0,0.0,N,5,-140,
2024-05-08,12720,12710,12760,12560,13026,164930620,0,0.0,N,2,10,
2024-05-09,12590,12720,12760,12580,13946,176076140,0,0.0,N,5,-130,
2024-05-10,12410,12750,12750,12410,21896,273010370,0,0.0,N,5,-180,
2024-05-13,12340,12400,12400,12250,23847,293469290,0,0.0,N,5,-70,
2024-05-14,12370,12300,12500,12290,7704,95165600,0,0.0,N,2,30,
2024-05-16,12420,12410,12470,12350,14474,179785460,0,0.0,N,2,50,
2024-05-17,12310,12420,12470,12250,28861,356224450,0,0.0,N,5,-110,
2024-05-20,12020,12310,12430,11980,58837,709792990,0,0.0,N,5,-290,
2024-05-21,12100,12090,12170,12000,16085,193871440,0,0.0,N,2,80,
2024-05-22,12410,12010,12550,12010,31751,390676070,0,0.0,N,2,310,
2024-05-23,12300,12410,12490,12250,10196,126010650,0,0.0,N,5,-110,
2024-05-24,12280,12230,12370,12090,14047,171214430,0,0.0,N,5,-20,
2024-05-27,12040,12280,12280,11950,27177,326394600,0,0.0,N,5,-240,
2024-05-28,12000,12050,12060,11950,16072,192722270,0,0.0,N,5,-40,
2024-05-29,11820,12070,12070,11750,17081,201448970,0,0.0,N,5,-180,
2024-05-30,11820,11990,12000,11630,19988,235461040,0,0.0,N,3,0,
2024-05-31,11690,11820,12070,11590,23108,269601830,0,0.0,N,5,-130,
2024-06-03,11600,11690,11690,11550,17125,198442450,0,0.0,N,5,-90,
2024-06-04,11530,11680,11680,11420,16896,194578300,0,0.0,N,5,-70,
2024-06-05,11530,11620,11620,11400,12843,147791630,0,0.0,N,3,0,
2024-06-07,11560,11530,11740,11530,9646,111619440,0,0.0,N,2,30,
2024-06-10,11690,11560,11800,11450,14542,169460360,0,0.0,N,2,130,
2024-06-11,11540,11700,11780,11530,11014,127603790,0,0.0,N,5,-150,
2024-06-12,11520,11540,11700,11480,11153,128448630,0,0.0,N,5,-20,
2024-06-13,11350,11610,11610,11170,51143,578641290,0,0.0,N,5,-170,
2024-06-14,11000,11350,11420,10800,84397,925021260,0,0.0,N,5,-350,
2024-06-17,10760,11000,11070,10700,27019,291872460,0,0.0,N,5,-240,
2024-06-18,10760,11040,11040,10660,24948,268126330,0,0.0,N,3,0,
2024-06-19,10490,10680,10840,10400,36268,382025110,0,0.0,N,5,-270,
2024-06-20,10990,10490,11210,10490,68185,742558780,0,0.0,N,2,500,
2024-06-21,10580,11080,11100,10580,23385,250449070,0,0.0,N,5,-410,
2024-06-24,10580,10580,10850,10460,23669,251331810,0,0.0,N,3,0,
2024-06-25,10510,10420,11100,10420,11901,125076110,0,0.0,N,5,-70,
2024-06-26,10660,10730,10990,10550,17084,183448390,0,0.0,N,2,150,
2024-06-27,10620,10800,10800,10510,4735,50282770,0,0.0,N,5,-40,
2024-06-28,10550,10730,10740,10470,6260,65782500,0,0.0,N,5,-70,
2024-07-01,10380,10600,10600,10360,16338,170118090,0,0.0,N,5,-170,
2024-07-02,11850,10380,13400,10070,1340632,16750707840,0,0.0,N,2,1470,
2024-07-03,11390,12310,13260,11200,579417,7127140210,0,0.0,N,5,-460,
2024-07-04,11900,11510,12880,11500,699788,8607667560,0,0.0,N,2,510,
2024-07-05,11760,11880,12060,11630,78291,919958160,0,0.0,N,5,-140,
2024-07-08,12330,11700,13000,11480,585475,7323032000,0,0.0,N,2,570,
2024-07-09,12100,12360,12560,11980,82456,1003460690,0,0.0,N,5,-230,
2024-07-10,11860,12000,12070,11600,73254,864925300,0,0.0,N,5,-240,
2024-07-11,11880,11870,12280,11840,52466,630724000,0,0.0,N,2,20,
2024-07-12,12240,11760,12370,11640,62875,761882320,0,0.0,N,2,360,
