date,close,open,high,low,volume,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
2024-04-01,206000,200500,207500,198300,103402,21142800400,0,0.0,N,2,7200,
2024-04-02,197400,204000,205000,197400,99738,19949278700,0,0.0,N,5,-8600,
2024-04-03,193700,196900,198500,193100,96744,18886343100,0,0.0,N,5,-3700,
2024-04-04,191100,194800,194900,190800,85964,16506447100,0,0.0,N,5,-2600,
2024-04-05,189000,190000,191200,188100,76151,14422210900,0,0.0,N,5,-2100,
2024-04-08,185100,188600,189400,184600,100190,18642126200,0,0.0,N,5,-3900,
2024-04-09,184500,186100,191300,184300,109609,20433174800,0,0.0,N,5,-600,
2024-04-11,177800,181200,182700,177800,166096,29835260800,0,0.0,N,5,-6700,
2024-04-12,176000,178600,180400,176000,94094,16720315900,0,0.0,N,5,-1800,
2024-04-15,170200,174200,174200,169900,133629,22896809100,0,0.0,N,5,-5800,
2024-04-16,169300,168500,172000,167600,82996,14070982800,0,0.0,N,5,-900,
2024-04-17,168100,169400,171000,168000,69916,11826044500,0,0.0,N,5,-1200,
2024-04-18,168800,168100,171000,167600,87326,14785368700,0,0.0,N,2,700,
2024-04-19,164900,167100,167300,163600,134132,22152090100,0,0.0,N,5,-3900,
2024-04-22,170400,166600,170900,166600,74328,12586547000,0,0.0,N,2,5500,
2024-04-23,170500,169000,173500,168700,98971,16950282100,0,0.0,N,2,100,
2024-04-24,173600,172200,174800,171400,50629,8761141400,0,0.0,N,2,3100,
2024-04-25,172500,171600,173700,169900,48045,8263254900,0,0.0,N,5,-1100,
2024-04-26,171200,172600,173500,170400,44976,7711641000,0,0.0,N,5,-1300,
2024-04-29,178000,172900,179000,172900,87777,15554398700,0,0.0,N,2,6800,
2024-04-30,176100,176100,178100,175900,72376,12784699500,0,0.0,N,5,-1900,
2024-05-02,178200,176100,179700,175900,67102,11974330000,0,0.0,N,2,2100,
2024-05-03,179700,179600,181500,179200,58081,10480132400,0,0.0,N,2,1500,
2024-05-07,182100,181600,184300,179700,96628,17619616800,0,0.0,N,2,2400,
2024-05-08,183900,182100,186700,182100,81311,14988989200,0,0.0,N,2,1800,
2024-05-09,184500,183800,188200,182900,158360,29315937100,0,0.0,N,2,600,
2024-05-10,204000,189400,209500,189400,697607,141549511700,0,0.0,N,2,19500,
2024-05-13,210000,205500,212000,203500,249959,52200674000,0,0.0,N,2,6000,
2024-05-14,220000,210500,221000,210500,279372,60994853000,0,0.0,N,2,10000,
2024-05-16,215500,217000,217500,213000,147736,31821389000,0,0.0,N,5,-4500,
2024-05-17,216500,214000,221500,214000,93170,20184984500,0,0.0,N,2,1000,
2024-05-20,214000,218000,218500,211500,79861,17126797000,0,0.0,N,5,-2500,
2024-05-21,215500,212000,219000,211000,86123,18556807500,0,0.0,N,2,1500,
2024-05-22,214000,213500,218000,213000,60812,13102702500,0,0.0,N,5,-1500,
2024-05-23,215000,210500,218500,209500,85190,18318659500,0,0.0,N,2,1000,
2024-05-24,212500,212500,217000,212000,60689,12996566000,0,0.0,N,5,-2500,
2024-05-27,209500,215000,219500,208000,69691,14859003000,0,0.0,N,5,-3000,
2024-05-28,195400,207000,208500,195400,196142,39113359400,0,0.0,N,5,-14100,
2024-05-29,194300,194500,196700,193000,85046,16591427100,0,0.0,N,5,-1100,
2024-05-30,192300,193300,197200,191900,63862,12400648600,0,0.0,N,5,-2000,
2024-05-31,190300,191700,197000,190300,148754,28586138500,0,0.0,N,5,-2000,
2024-06-03,194500,191000,197300,190000,65487,12716199600,0,0.0,N,2,4200,
2024-06-04,193000,193100,196100,193000,45642,8878006400,0,0.0,N,5,-1500,
2024-06-05,194900,193700,197600,192200,63236,12331270800,0,0.0,N,2,1900,
2024-06-07,195200,197300,201000,195200,69529,13731116000,0,0.0,N,2,300,
2024-06-10,188000,193400,194200,185800,96072,18145658100,0,0.0,N,5,-7200,
2024-06-11,187000,188100,190700,187000,50658,9554929700,0,0.0,N,5,-1000,
2024-06-12,185900,186500,188400,183200,85404,15809093100,0,0.0,N,5,-1100,
2024-06-13,186600,186600,191200,186600,137194,25877212700,0,0.0,N,2,700,
2024-06-14,183300,186000,186600,183100,85349,15735090400,0,0.0,N,5,-3300,
2024-06-17,185800,182200,186000,181400,62102,11457239600,0,0.0,N,2,2500,
2024-06-18,183900,186400,186400,181100,70990,13022125900,0,0.0,N,5,-1900,
2024-06-19,189900,185700,190300,184600,88881,16737881600,0,0.0,N,2,6000,
2024-06-20,193500,187600,197800,186300,100031,19446731700,0,0.0,N,2,3600,
2024-06-21,195300,194700,195300,190000,93605,18081842300,0,0.0,N,2,1800,
2024-06-24,186000,195000,198500,186000,90568,17220467600,0,0.0,N,5,-9300,
2024-06-25,199800,188400,200500,188400,146342,28837038200,0,0.0,N,2,13800,
2024-06-26,186500,196700,197500,186200,169274,32067209100,0,0.0,N,5,-13300,
2024-06-27,181000,184700,185000,179000,121162,21926892900,0,0.0,N,5,-5500,
2024-06-28,179900,180900,182400,178100,88030,15929661700,0,0.0,N,5,-1100,
2024-07-01,184100,179000,191000,179000,164074,30463593400,0,0.0,N,2,4200,
2024-07-02,179900,182200,182200,178100,86841,15599560700,0,0.0,N,5,-4200,
2024-07-03,180200,180400,182200,179600,52884,9558457100,0,0.0,N,2,300,
2024-07-04,180400,180200,182300,179400,55686,10056084800,0,0.0,N,2,200,
2024-07-05,183300,181000,185900,180500,77660,14261467500,0,0.0,N,2,2900,
