date,close,open,high,low,volume,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
2024-04-01,968,937,982,937,346210,335379711,0,0.0,N,2,32,
2024-04-02,968,968,993,947,264502,255370548,0,0.0,N,3,0,
2024-04-03,933,967,967,933,255015,239818717,0,0.0,N,5,-34,
2024-04-04,958,950,963,938,216447,206170866,0,0.0,N,2,24,
2024-04-05,934,947,957,931,180008,169304774,0,0.0,N,5,-23,
2024-04-08,916,931,933,904,151534,138677241,0,0.0,N,5,-18,
2024-04-09,1027,916,1190,916,25917246,28790601285,0,0.0,N,2,111,
2024-04-11,1033,998,1063,985,2575793,2636700704,0,0.0,N,2,5,
2024-04-12,1032,1040,1048,997,1252920,1286178115,0,0.0,N,5,0,
2024-04-15,1004,1008,1014,990,668023,668634561,0,0.0,N,5,-28,
2024-04-16,994,1010,1013,967,620333,609869567,0,0.0,N,5,-10,
2024-04-17,963,990,1007,959,673254,661293147,0,0.0,N,5,-30,
2024-04-18,995,963,1014,961,453921,451611303,0,0.0,N,2,31,
2024-04-19,973,991,994,946,442292,426900380,0,0.0,N,5,-22,
2024-04-22,939,973,973,929,459548,436972182,0,0.0,N,5,-34,
2024-04-23,933,929,963,929,261036,245541363,0,0.0,N,5,-5,
2024-04-24,963,933,971,933,233355,223649025,0,0.0,N,2,30,
2024-04-25,939,954,962,939,284844,269438417,0,0.0,N,5,-24,
2024-04-26,971,939,979,936,465628,446867239,0,0.0,N,2,32,
2024-04-29,1009,963,1049,956,1435444,1461134651,0,0.0,N,2,38,
2024-04-30,1032,1009,1036,959,527266,533159065,0,0.0,N,2,22,
2024-05-02,1029,1023,1079,993,417449,429287242,0,0.0,N,5,-2,
2024-05-03,1042,1029,1056,1006,466662,484959811,0,0.0,N,2,12,
2024-05-07,1063,1037,1066,1029,399154,417021134,0,0.0,N,2,21,
2024-05-08,1067,1052,1076,1051,462027,490361179,0,0.0,N,2,4,
2024-05-09,1061,1066,1078,1047,246361,261093764,0,0.0,N,5,-6,
2024-05-10,1101,1061,1128,1050,1147801,1265914255,0,0.0,N,2,40,
2024-05-13,1113,1101,1137,1067,787074,870748187,0,0.0,N,2,12,
2024-05-14,1075,1117,1124,1070,366755,400988974,0,0.0,N,5,-38,
2024-05-16,1066,1075,1090,1057,317530,339996731,0,0.0,N,5,-9,
2024-05-17,1042,1066,1066,1035,342073,358151524,0,0.0,N,5,-23,
2024-05-20,1074,1042,1150,1042,1237119,1369732072,0,0.0,N,2,32,
