date,close,open,high,low,volume,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
2024-04-01,46900,43700,46900,43600,870763,40126857350,0,0.0,N,2,3650,
2024-04-02,46350,47300,47800,46200,617000,28918753850,0,0.0,N,5,-550,
2024-04-03,45150,45850,46050,44450,398764,18034276450,0,0.0,N,5,-1200,
2024-04-04,45350,45650,46550,45300,359955,16467858500,0,0.0,N,2,200,
2024-04-05,43950,44850,44850,43950,304752,13475878750,0,0.0,N,5,-1400,
2024-04-08,44450,44100,45750,43450,422272,18888590050,0,0.0,N,2,500,
2024-04-09,44300,44700,45500,44200,210072,9388037050,0,0.0,N,5,-150,
2024-04-11,43800,43550,44150,43500,257538,11266858350,0,0.0,N,5,-500,
2024-04-12,42000,44250,44300,41900,512545,21977362150,0,0.0,N,5,-1800,
2024-04-15,41000,41000,41500,40200,293100,11929979250,0,0.0,N,5,-1000,
2024-04-16,40800,40250,41300,40050,297589,12107611650,0,0.0,N,5,-200,
2024-04-17,41700,41200,42950,41200,404070,17067402350,0,0.0,N,2,900,
2024-04-18,41950,41550,42350,41500,174230,7308676100,0,0.0,N,2,250,
2024-04-19,41100,41700,41900,40100,321986,13180906300,0,0.0,N,5,-850,
2024-04-22,40950,41100,41150,40400,170763,6952044100,0,0.0,N,5,-150,
2024-04-23,40500,41100,41350,40400,145860,5929814500,0,0.0,N,5,-450,
2024-04-24,40850,40950,41550,40850,243208,10008113550,0,0.0,N,2,350,
2024-04-25,40050,40450,40750,40050,232148,9350764400,0,0.0,N,5,-800,
2024-04-26,41600,40450,41800,40050,337756,13808512850,0,0.0,N,2,1550,
2024-04-29,41550,41900,42150,41050,209013,8676999550,0,0.0,N,5,-50,
2024-04-30,41400,41600,41900,41200,183391,7614223300,0,0.0,N,5,-150,
2024-05-02,42650,41450,42750,41000,284367,11952273900,0,0.0,N,2,1250,
2024-05-03,43000,42700,43200,42400,149046,6362596800,0,0.0,N,2,350,
2024-05-07,42800,43400,43500,42450,287596,12331264550,0,0.0,N,5,-200,
2024-05-08,44450,43700,44700,43300,455288,20121350650,0,0.0,N,2,1650,
2024-05-09,43350,44500,44500,43150,265917,11587050300,0,0.0,N,5,-1100,
2024-05-10,43100,43800,44150,43000,214410,9307404500,0,0.0,N,5,-250,
2024-05-13,42900,43600,43800,42750,184727,7955685400,0,0.0,N,5,-200,
2024-05-14,42800,42500,43250,42500,150823,6467303700,0,0.0,N,5,-100,
2024-05-16,43150,43600,44050,43050,187814,8149358400,0,0.0,N,2,350,
2024-05-17,42250,43000,43000,42250,155697,6617036800,0,0.0,N,5,-900,
2024-05-20,41900,42350,42450,41500,140320,5869045300,0,0.0,N,5,-350,
2024-05-21,41850,41800,42200,41600,176589,7387081650,0,0.0,N,5,-50,
2024-05-22,43900,42200,44250,41900,430482,18761624250,0,0.0,N,2,2050,
2024-05-23,44700,44350,46150,43750,649628,29313246050,0,0.0,N,2,800,
2024-05-24,42700,44300,44450,42650,342851,14884214100,0,0.0,N,5,-2000,
2024-05-27,41150,42650,42650,40450,690148,28275291500,0,0.0,N,5,-1550,
2024-05-28,40850,41250,41450,40800,260957,10695417100,0,0.0,N,5,-300,
2024-05-29,40450,40850,40950,40350,294130,11915614200,0,0.0,N,5,-400,
2024-05-30,39950,40250,40300,39800,227557,9094586950,0,0.0,N,5,-500,
2024-05-31,40550,39900,40800,39850,227745,9214642650,0,0.0,N,2,600,
2024-06-03,41650,40600,42150,40600,358205,14862907200,0,0.0,N,2,1100,
2024-06-04,42750,41250,43150,41250,361924,15414928650,0,0.0,N,2,1100,
2024-06-05,43150,43250,44150,42500,406745,17676060750,0,0.0,N,2,400,
2024-06-07,43450,43450,44000,42900,206394,8952167950,0,0.0,N,2,300,
2024-06-10,42750,42900,43400,42150,209538,8952401750,0,0.0,N,5,-700,
2024-06-11,42700,42750,43100,42050,219402,9345511100,0,0.0,N,5,-50,
2024-06-12,42950,42600,43600,42350,251624,10795840200,0,0.0,N,2,250,
2024-06-13,40600,43500,43850,40500,1685959,69500216200,0,0.0,N,5,-2350,
2024-06-14,40200,40750,40950,40200,366777,14860987150,0,0.0,N,5,-400,
2024-06-17,43650,40550,44750,40550,1422659,61634821200,0,0.0,N,2,3450,
2024-06-18,45400,44200,46450,43550,1793233,81738581450,0,0.0,N,2,1750,
2024-06-19,45850,45550,46650,45000,1021852,47410861550,0,0.0,N,2,450,
2024-06-20,57100,48800,58900,47300,15710176,855829732200,0,0.0,N,2,11250,
2024-06-21,52200,55900,55900,52200,3406348,182332138000,0,0.0,N,5,-4900,
2024-06-24,53400,52800,53800,51300,1964277,103719773200,0,0.0,N,2,1200,
2024-06-25,51400,51700,53000,50200,1339215,68863696300,0,0.0,N,5,-2000,
2024-06-26,50200,51800,52300,49900,936375,47509468550,0,0.0,N,5,-1200,
2024-06-27,48350,49850,50000,48250,818088,40011578450,0,0.0,N,5,-1850,
2024-06-28,48900,48500,49600,47300,862740,41776705900,0,0.0,N,2,550,
2024-07-01,48400,48500,49700,48100,500152,24357299200,0,0.0,N,5,-500,
2024-07-02,47350,48400,48850,46800,591404,28031878300,0,0.0,N,5,-1050,
2024-07-03,49000,48200,49500,47550,1053287,51410880150,0,0.0,N,2,1650,
2024-07-04,52000,50100,52500,49750,1568150,80347205250,0,0.0,N,2,3000,
2024-07-05,50900,51600,51800,50100,671978,34276438500,0,0.0,N,5,-1100,
2024-07-08,50800,50900,51900,50300,327593,16662763800,0,0.0,N,5,-100,
2024-07-09,52000,51100,52300,49500,812905,41735844900,0,0.0,N,2,1200,
2024-07-10,50600,51800,51800,50400,408133,20820477000,0,0.0,N,5,-1400,
2024-07-11,50700,50800,51300,49950,419064,21140806400,0,0.0,N,2,100,
2024-07-12,50300,49850,50500,48450,457890,22648997100,0,0.0,N,5,-400,
2024-07-15,52200,50100,52500,48950,582363,29760896200,0,0.0,N,2,1900,
2024-07-16,52600,51700,53000,51300,521156,27203193500,0,0.0,N,2,400,
2024-07-17,53500,52500,55500,52300,1758849,95638607100,0,0.0,N,2,900,
2024-07-18,53900,52400,53900,51600,585052,30942925400,0,0.0,N,2,400,
2024-07-19,55000,53500,55400,53000,875528,47737052100,0,0.0,N,2,1100,
2024-07-22,53700,54400,55700,52500,709808,38401933400,0,0.0,N,5,-1300,
2024-07-23,52700,54300,55300,52700,478539,25809147500,0,0.0,N,5,-1000,
2024-07-24,52400,52200,53100,51200,408235,21305693700,0,0.0,N,5,-300,
2024-07-25,50800,51800,52000,49400,460406,23467406150,0,0.0,N,5,-1600,
2024-07-26,52700,50600,53100,50600,350185,18342540700,0,0.0,N,2,1900,
2024-07-29,51300,52800,53200,51200,364724,18990505300,0,0.0,N,5,-1400,
2024-07-30,51300,51000,51400,49150,399821,20108273300,0,0.0,N,3,0,
2024-07-31,54300,50900,54700,50700,636946,34106872000,0,0.0,N,2,3000,
2024-08-01,54500,56000,56500,54000,817975,45121994200,0,0.0,N,2,200,
2024-08-02,48700,52500,52900,48700,914988,46013621500,0,0.0,N,5,-5800,
2024-08-05,42250,47200,47850,40050,996549,43662314600,0,0.0,N,5,-6450,
2024-08-06,43200,43500,44500,42700,781551,34028627650,0,0.0,N,2,950,
2024-08-07,41300,43050,43500,41150,862917,36650115500,0,0.0,N,5,-1900,
2024-08-08,40750,41100,41800,40300,601171,24566335150,0,0.0,N,5,-550,
2024-08-09,41950,42400,43000,41600,496335,21016957100,0,0.0,N,2,1200,
2024-08-12,43800,41750,44400,41750,508714,22115344250,0,0.0,N,2,1850,
2024-08-13,43150,44000,44100,42550,287730,12415317000,0,0.0,N,5,-650,
2024-08-14,42550,44000,44100,42000,515995,22038920850,0,0.0,N,5,-600,
2024-08-16,43600,43500,43700,42450,543252,23384346850,0,0.0,N,2,1050,
2024-08-19,42650,43700,43750,42400,280644,12030882900,0,0.0,N,5,-950,
2024-08-20,42400,43100,43850,42350,479142,20611168600,0,0.0,N,5,-250,
2024-08-21,42500,42350,42850,42000,266358,11283916000,0,0.0,N,2,100,
2024-08-22,41850,42850,42850,41700,236878,9967986950,0,0.0,N,5,-650,
2024-08-23,41100,41350,41550,40750,246417,10115020250,0,0.0,N,5,-750,
2024-08-26,40350,41500,41500,40200,262373,10649878000,0,0.0,N,5,-750,
2024-08-27,40450,40050,40850,40050,204926,8279118400,0,0.0,N,2,100,
2024-08-28,41650,40500,41750,40250,329110,13579470150,0,0.0,N,2,1200,
2024-08-29,40850,40600,41100,40450,219702,8955691900,0,0.0,N,5,-800,
2024-08-30,40750,41300,41350,40600,227334,9296886900,0,0.0,N,5,-100,
2024-09-02,40500,41200,41200,40400,195939,7964201350,0,0.0,N,5,-250,
2024-09-03,40300,40500,40700,40100,179698,7253860050,0,0.0,N,5,-200,
2024-09-04,38050,38650,39150,37850,478282,18406513200,0,0.0,N,5,-2250,
2024-09-05,37400,38200,38900,37400,253822,9645476550,0,0.0,N,5,-650,
2024-09-06,36500,37350,37900,36500,231226,8529667600,0,0.0,N,5,-900,
2024-09-09,36650,35200,36900,35200,116073,4190929650,0,0.0,N,2,150,
2024-09-10,36700,36750,37200,36200,147218,5395950800,0,0.0,N,2,50,
2024-09-11,35700,36500,36850,35500,221593,7970122700,0,0.0,N,5,-1000,
2024-09-12,36650,36350,37300,36250,343739,12607601700,0,0.0,N,2,950,
2024-09-13,37600,36600,37600,36200,182023,6694535750,0,0.0,N,2,950,
2024-09-19,37000,37450,37600,36400,194231,7172503100,0,0.0,N,5,-600,
2024-09-20,36150,37700,37700,36150,300953,11047532300,0,0.0,N,5,-850,
2024-09-23,37950,36350,38050,36150,305829,11410614350,0,0.0,N,2,1800,
2024-09-24,40200,38000,42250,37500,1740189,70695574650,0,0.0,N,2,2250,
2024-09-25,40200,40500,41250,40150,577871,23526006650,0,0.0,N,3,0,
2024-09-26,40900,41150,41650,40650,357045,14666425600,0,0.0,N,2,700,
2024-09-27,40600,40350,40950,40350,192292,7801392850,0,0.0,N,5,-300,
2024-09-30,40300,40050,40900,39600,222645,8988546550,0,0.0,N,5,-300,
2024-10-02,40450,39650,41400,39450,227110,9222885100,0,0.0,N,2,150,
2024-10-04,40750,40500,41200,40500,123310,5035892650,0,0.0,N,2,300,
2024-10-07,41350,41150,41650,40700,146210,6018470150,0,0.0,N,2,600,
2024-10-08,40150,41200,41700,40050,204894,8307424800,0,0.0,N,5,-1200,
2024-10-10,39800,40650,40800,39800,243209,9742797700,0,0.0,N,5,-350,
2024-10-11,40500,39850,40950,39800,292325,11794418950,0,0.0,N,2,700,
2024-10-14,41450,40900,41850,40650,269135,11151238550,0,0.0,N,2,950,
2024-10-15,40850,41950,41950,40800,162499,6708542150,0,0.0,N,5,-600,
2024-10-16,40300,40500,41050,40000,177932,7205014850,0,0.0,N,5,-550,
2024-10-17,40200,40950,41000,40150,106100,4284260100,0,0.0,N,5,-100,
2024-10-18,38650,40150,40500,38550,204572,8027606800,0,0.0,N,5,-1550,
2024-10-21,37850,38550,39000,37700,294927,11241023950,0,0.0,N,5,-800,
2024-10-22,36800,37700,38050,36350,314394,11538443050,0,0.0,N,5,-1050,
2024-10-23,36900,36500,37150,35800,288303,10494288500,0,0.0,N,2,100,
2024-10-24,36050,36500,37100,36050,200197,7308946050,0,0.0,N,5,-850,
2024-10-25,35600,36200,36600,35250,216022,7687107100,0,0.0,N,5,-450,
2024-10-28,37050,35500,37100,35500,133134,4867156450,0,0.0,N,2,1450,
2024-10-29,37550,37000,37550,36450,119825,4446600550,0,0.0,N,2,500,
2024-10-30,37250,37500,38250,37100,121893,4593072400,0,0.0,N,5,-300,
2024-10-31,39000,37000,39000,36750,217349,8304512350,0,0.0,N,2,1750,
2024-11-01,37250,38100,38450,37250,125991,4753962850,0,0.0,N,5,-1750,
2024-11-04,37350,37350,37850,36900,144791,5404511000,0,0.0,N,2,100,
2024-11-05,37800,37600,38250,37100,132880,5008146100,0,0.0,N,2,450,
2024-11-06,36600,37800,38000,36250,189505,7006945750,0,0.0,N,5,-1200,
2024-11-07,36100,36450,36950,35900,183544,6647611100,0,0.0,N,5,-500,
2024-11-08,36000,36200,36700,35750,159420,5773584250,0,0.0,N,5,-100,
2024-11-11,34000,36000,36000,33700,402981,13847320550,0,0.0,N,5,-2000,
2024-11-12,32550,33700,34000,32250,388563,12701640650,0,0.0,N,5,-1450,
2024-11-13,31600,32050,33150,31400,318894,10249450650,0,0.0,N,5,-950,
2024-11-14,32350,31600,32550,31600,236887,7605206400,0,0.0,N,2,750,
2024-11-15,31850,31950,32250,31100,282770,8965229700,0,0.0,N,5,-500,
2024-11-18,31950,31700,32300,31500,792412,24096916750,0,0.0,N,2,100,
2024-11-19,34000,31850,34150,31850,309257,10312329700,0,0.0,N,2,2050,
2024-11-20,33650,34050,34100,33250,112126,3779814500,0,0.0,N,5,-350,
2024-11-21,33600,33200,33800,33200,115265,3863061200,0,0.0,N,5,-50,
2024-11-22,33150,33400,34000,33150,96241,3216583550,0,0.0,N,5,-450,
2024-11-25,33600,33150,33600,32650,182169,6060388550,0,0.0,N,2,450,
2024-11-26,33700,33500,33700,32900,104985,3504204900,0,0.0,N,2,100,
2024-11-27,32500,33900,33900,32500,169112,5539132650,0,0.0,N,5,-1200,
2024-11-28,32300,32200,32750,32150,103489,3348371100,0,0.0,N,5,-200,
2024-11-29,31400,32200,32300,31250,153239,4836953850,0,0.0,N,5,-900,
2024-12-02,30250,31350,31700,30150,218442,6695096400,0,0.0,N,5,-1150,
2024-12-03,32850,29950,32850,29950,310697,9756300300,0,0.0,N,2,2600,
2024-12-04,32800,31700,32800,31200,224000,7203152650,0,0.0,N,5,-50,
2024-12-05,31750,32850,32850,31650,170043,5456676150,0,0.0,N,5,-1050,
2024-12-06,31950,31600,32200,31050,177645,5620264500,0,0.0,N,2,200,
2024-12-09,29200,31000,31200,29100,331875,9917874650,0,0.0,N,5,-2750,
2024-12-10,31700,29200,31700,29200,362905,11471227600,0,0.0,N,2,2500,
2024-12-11,33100,35700,35750,32750,1086555,37188954150,0,0.0,N,2,1400,
2024-12-12,33550,33650,34200,32600,401949,13376853400,0,0.0,N,2,450,
2024-12-13,34150,33150,34300,33000,317037,10747811150,0,0.0,N,2,600,
2024-12-16,34050,34450,34550,33650,202229,6880164450,0,0.0,N,5,-100,
2024-12-17,35200,34700,35300,33950,368691,12807759200,0,0.0,N,2,1150,
2024-12-18,34750,35350,35350,34300,183938,6357558250,0,0.0,N,5,-450,
2024-12-19,34150,33750,34200,33500,194728,6596131300,0,0.0,N,5,-600,
2024-12-20,33200,34300,34300,33000,145634,4844388800,0,0.0,N,5,-950,
2024-12-23,33600,33200,33750,33150,93493,3134640250,0,0.0,N,2,400,
2024-12-24,33950,33750,34700,33500,146284,4973933900,0,0.0,N,2,350,
2024-12-26,33050,33950,34050,32850,164899,5482869750,0,0.0,N,5,-900,
2024-12-27,31700,33000,33250,31700,163691,5262527000,0,0.0,N,5,-1350,
2024-12-30,33150,31600,33600,31400,129702,4241371900,0,0.0,N,2,1450,
2025-01-02,32900,33150,33200,32200,115196,3761730850,0,0.0,N,5,-250,
2025-01-03,33050,33050,33550,32850,149737,4978553150,0,0.0,N,2,150,
2025-01-06,34150,33400,34200,33300,188796,6416725950,0,0.0,N,2,1100,
2025-01-07,33900,34700,34800,33700,208649,7108830450,0,0.0,N,5,-250,
2025-01-08,34400,33600,34750,33550,178688,6145082350,0,0.0,N,2,500,
2025-01-09,34000,34550,34550,33750,140815,4797248850,0,0.0,N,5,-400,
2025-01-10,34750,34000,34800,33600,179465,6171462900,0,0.0,N,2,750,
2025-01-13,33600,34400,34500,33450,144741,4899140700,0,0.0,N,5,-1150,
2025-01-14,33000,33600,34000,32850,122589,4064974050,0,0.0,N,5,-600,
2025-01-15,33750,33300,34050,33100,152793,5156097650,0,0.0,N,2,750,
