date,close,open,high,low,volume,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
2024-04-01,4045,4170,4200,4040,402462,1649213550,0,0.0,N,5,-75,
2024-04-02,4040,4040,4150,4015,344018,1404934930,0,0.0,N,5,-5,
2024-04-03,3895,3985,3985,3890,333388,1304091385,0,0.0,N,5,-145,
2024-04-04,4070,3915,4080,3875,415825,1640979685,0,0.0,N,2,175,
2024-04-05,3990,3985,4020,3880,328994,1302779485,0,0.0,N,5,-80,
2024-04-08,4010,3985,4060,3945,379603,1525183630,0,0.0,N,2,20,
2024-04-09,3850,4000,4035,3850,446152,1740246885,0,0.0,N,5,-160,
2024-04-11,3750,3790,3800,3680,301183,1121819705,0,0.0,N,5,-100,
2024-04-12,3740,3765,3830,3720,126863,477292650,0,0.0,N,5,-10,
2024-04-15,3710,3680,3725,3615,162222,593343965,0,0.0,N,5,-30,
2024-04-16,3600,3645,3690,3555,210143,754946290,0,0.0,N,5,-110,
2024-04-17,3580,3600,3645,3570,145891,524985490,0,0.0,N,5,-20,
2024-04-18,3620,3555,3630,3555,109658,395763230,0,0.0,N,2,40,
2024-04-19,3500,3585,3615,3430,296946,1037055110,0,0.0,N,5,-120,
2024-04-22,3525,3500,3565,3480,127630,448151090,0,0.0,N,2,25,
2024-04-23,3485,3545,3575,3455,124856,436805105,0,0.0,N,5,-40,
2024-04-24,3475,3520,3580,3455,631183,2218206625,0,0.0,N,5,-10,
2024-04-25,3480,3445,3540,3420,256628,893648205,0,0.0,N,2,5,
2024-04-26,3510,3500,3555,3495,127483,448737400,0,0.0,N,2,30,
2024-04-29,3590,3540,3590,3540,117467,419069000,0,0.0,N,2,80,
2024-04-30,3575,3590,3635,3555,127498,456471970,0,0.0,N,5,-15,
2024-05-02,3595,3535,3600,3515,176739,629049265,0,0.0,N,2,20,
2024-05-03,3555,3620,3630,3550,89469,320371375,0,0.0,N,5,-40,
2024-05-07,3625,3600,3630,3575,131630,475176580,0,0.0,N,2,70,
2024-05-08,3665,3590,3670,3590,116669,424117170,0,0.0,N,2,40,
2024-05-09,3615,3655,3675,3610,65999,239407755,0,0.0,N,5,-50,
2024-05-10,3545,3630,3630,3540,177885,634948300,0,0.0,N,5,-70,
2024-05-13,3600,3560,3600,3495,160411,571745445,0,0.0,N,2,55,
2024-05-14,3590,3570,3605,3560,72749,260212300,0,0.0,N,5,-10,
2024-05-16,3610,3630,3640,3590,119097,430653940,0,0.0,N,2,20,
