date,close,open,high,low,volume,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
2024-04-01,120000,122900,126100,119300,82318,9930758800,0,0.0,N,5,-1700,
2024-04-02,119600,118900,121900,118000,47626,5717572400,0,0.0,N,5,-400,
2024-04-03,120800,118100,122000,118000,58689,7044350400,0,0.0,N,2,1200,
2024-04-04,122400,123100,125400,121600,94605,11675742400,0,0.0,N,2,1600,
2024-04-05,124400,121300,128900,120900,90813,11424471200,0,0.0,N,2,2000,
2024-04-08,123100,124000,125200,122500,70890,8746155600,0,0.0,N,5,-1300,
2024-04-09,125600,124900,128500,124000,55412,6973542200,0,0.0,N,2,2500,
2024-04-11,123700,121900,127300,117600,90316,11147153300,0,0.0,N,5,-1900,
2024-04-12,120500,123000,123800,120400,41664,5072624000,0,0.0,N,5,-3200,
2024-04-15,125000,121600,125000,119500,54206,6678423500,0,0.0,N,2,4500,
2024-04-16,119300,123900,124600,119200,41353,4992552500,0,0.0,N,5,-5700,
2024-04-17,119100,119300,120900,119000,28597,3425160500,0,0.0,N,5,-200,
2024-04-18,126400,121000,127000,120000,76068,9484839500,0,0.0,N,2,7300,
2024-04-19,123300,122600,127100,121800,52135,6442178700,0,0.0,N,5,-3100,
2024-04-22,131000,126000,131100,124600,104336,13493285800,0,0.0,N,2,7700,
2024-04-23,130800,131100,133500,129700,62068,8154101700,0,0.0,N,5,-200,
2024-04-24,130500,132200,134500,130200,72062,9515664500,0,0.0,N,5,-300,
2024-04-25,128700,130100,132100,128700,51326,6663064800,0,0.0,N,5,-1800,
2024-04-26,132100,128100,132500,128100,59391,7807512800,0,0.0,N,2,3400,
2024-04-29,132300,134300,134300,130300,46313,6078067300,0,0.0,N,2,200,
2024-04-30,132400,131000,134300,131000,57981,7671951600,0,0.0,N,2,100,
2024-05-02,130900,132400,132500,126300,61691,8007520200,0,0.0,N,5,-1500,
2024-05-03,128300,131300,131300,126200,81855,10473809700,0,0.0,N,5,-2600,
2024-05-07,131800,129500,131800,128500,72548,9414972500,0,0.0,N,2,3500,
2024-05-08,132500,131600,132600,130000,45675,6001045100,0,0.0,N,2,700,
2024-05-09,128200,132400,132500,127200,61082,7868622200,0,0.0,N,5,-4300,
2024-05-10,132000,130500,132300,128600,51578,6770832300,0,0.0,N,2,3800,
2024-05-13,132600,132600,132800,129800,48596,6401177800,0,0.0,N,2,600,
2024-05-14,131400,132600,133800,128500,61700,8166241700,0,0.0,N,5,-1200,
2024-05-16,133500,132500,136200,132100,79249,10649804800,0,0.0,N,2,2100,
2024-05-17,130600,132200,133800,129700,38903,5081122800,0,0.0,N,5,-2900,
2024-05-20,130400,131900,132200,129900,36516,4775659100,0,0.0,N,5,-200,
2024-05-21,130300,130000,131100,129600,26838,3496930500,0,0.0,N,5,-100,
2024-05-22,129800,129600,131600,128900,35452,4619779260,0,0.0,N,5,-500,
2024-05-23,128800,128500,130500,128500,22805,2948603700,0,0.0,N,5,-1000,
2024-05-24,125400,126600,127100,122900,79168,9863345100,0,0.0,N,5,-3400,
2024-05-27,126600,126300,127100,125100,24389,3078063000,0,0.0,N,2,1200,
2024-05-28,125800,125400,128300,124600,45792,5752211200,0,0.0,N,5,-800,
2024-05-29,129500,126100,130700,125500,82887,10641207400,0,0.0,N,2,3700,
2024-05-30,132800,129000,133000,128300,62732,8256284900,0,0.0,N,2,3300,
2024-05-31,133800,134100,134100,132100,56284,7510857500,0,0.0,N,2,1000,
2024-06-03,131000,133200,133300,129900,37109,4891396200,0,0.0,N,5,-2800,
2024-06-04,128800,129800,131400,128100,30579,3944315100,0,0.0,N,5,-2200,
2024-06-05,130600,128900,131800,128200,30737,4013672100,0,0.0,N,2,1800,
2024-06-07,129800,130600,132500,128100,60278,7874894600,0,0.0,N,5,-800,
2024-06-10,128700,128600,131400,127800,27412,3542261800,0,0.0,N,5,-1100,
2024-06-11,127400,128700,130500,126500,25767,3292141300,0,0.0,N,5,-1300,
2024-06-12,126900,127500,127900,125200,29518,3724867900,0,0.0,N,5,-500,
2024-06-13,127000,127000,130300,127000,67292,8616598000,0,0.0,N,2,100,
2024-06-14,122300,126000,127600,122300,69793,8675945600,0,0.0,N,5,-4700,
2024-06-17,122000,122200,124500,121700,19871,2434048800,0,0.0,N,5,-300,
2024-06-18,122300,122900,124000,119400,72770,8825561400,0,0.0,N,2,300,
2024-06-19,121700,123400,123400,120100,79675,9665095300,0,0.0,N,5,-600,
2024-06-20,123600,120500,124600,120500,42831,5250212900,0,0.0,N,2,1900,
2024-06-21,122600,123300,123900,122000,33665,4133844500,0,0.0,N,5,-1000,
2024-06-24,120800,123200,123300,120500,40185,4869455800,0,0.0,N,5,-1800,
2024-06-25,126000,122000,129000,121500,75891,9527441300,0,0.0,N,2,5200,
2024-06-26,122800,124000,124100,121800,41618,5098432600,0,0.0,N,5,-3200,
2024-06-27,121600,121500,122700,120700,19068,2316949800,0,0.0,N,5,-1200,
2024-06-28,125900,121900,126300,121900,42587,5324285500,0,0.0,N,2,4300,
2024-07-01,123700,125200,125600,122700,30595,3779472800,0,0.0,N,5,-2200,
2024-07-02,125900,122500,127400,122400,51814,6494891200,0,0.0,N,2,2200,
2024-07-03,129700,127200,131800,124500,104361,13511843400,0,0.0,N,2,3800,
2024-07-04,136000,129800,139200,129300,143656,19494889000,0,0.0,N,2,6300,
2024-07-05,137700,136100,139500,135200,99601,13734859700,0,0.0,N,2,1700,
2024-07-08,136600,138300,138600,135300,36538,5014169500,0,0.0,N,5,-1100,
2024-07-09,138500,136900,139100,134100,63506,8718455600,0,0.0,N,2,1900,
2024-07-10,138500,138500,140400,136600,56272,7791776300,0,0.0,N,3,0,
2024-07-11,144600,139900,146200,138100,143375,20650017600,0,0.0,N,2,6100,
2024-07-12,141100,144600,144800,139700,66109,9322777900,0,0.0,N,5,-3500,
2024-07-15,143600,141800,144700,139400,58983,8421975800,0,0.0,N,2,2500,
2024-07-16,143100,144100,146400,142700,48068,6931701300,0,0.0,N,5,-500,
2024-07-17,140900,144200,144500,140000,51574,7300573200,0,0.0,N,5,-2200,
2024-07-18,138900,141000,141000,137000,70797,9811144500,0,0.0,N,5,-2000,
2024-07-19,137400,136700,137400,133300,48837,6616600100,0,0.0,N,5,-1500,
2024-07-22,135000,137400,137900,132400,39801,5367798700,0,0.0,N,5,-2400,
2024-07-23,131900,136400,137100,131300,46707,6233023800,0,0.0,N,5,-3100,
2024-07-24,130900,130900,133000,130100,45145,5924785500,0,0.0,N,5,-1000,
2024-07-25,126100,130300,130300,126000,66229,8389439800,0,0.0,N,5,-4800,
2024-07-26,126900,126100,129600,125600,64993,8273054300,0,0.0,N,2,800,
2024-07-29,133800,128100,138300,127600,91288,12308331800,0,0.0,N,2,6900,
2024-07-30,133900,132000,135700,131400,58143,7788668500,0,0.0,N,2,100,
2024-07-31,132800,136100,139000,131600,76486,10287462600,0,0.0,N,5,-1100,
2024-08-01,135800,134000,139200,132800,71845,9803711800,0,0.0,N,2,3000,
2024-08-02,124800,133600,133900,124800,128708,16378224300,0,0.0,N,5,-11000,
2024-08-05,118500,123500,124000,115200,107170,12829777600,0,0.0,N,5,-6300,
2024-08-06,122900,123500,128500,121000,106810,13305926800,0,0.0,N,2,4400,
2024-08-07,123400,120100,125200,119100,62759,7732363300,0,0.0,N,2,500,
2024-08-08,125700,122500,127000,121100,64361,8052525600,0,0.0,N,2,2300,
2024-08-09,124800,127300,127500,124800,42858,5390676900,0,0.0,N,5,-900,
2024-08-12,126500,125700,127600,124900,29797,3763752800,0,0.0,N,2,1700,
2024-08-13,127400,125600,128400,125600,37647,4796260800,0,0.0,N,2,900,
2024-08-14,127500,128000,130500,126400,38581,4951932200,0,0.0,N,2,100,
2024-08-16,134000,131500,135700,130500,74849,10033993500,0,0.0,N,2,6500,
2024-08-19,135000,134000,137000,133200,51469,6976081800,0,0.0,N,2,1000,
2024-08-20,138000,135500,138700,135500,61147,8388959700,0,0.0,N,2,3000,
2024-08-21,139200,138000,139600,135800,43965,6095631000,0,0.0,N,2,1200,
2024-08-22,137300,139200,139900,136600,33825,4662799800,0,0.0,N,5,-1900,
2024-08-23,136800,136200,137900,132200,58591,7929142600,0,0.0,N,5,-500,
2024-08-26,140500,137000,142400,136300,61424,8629452500,0,0.0,N,2,3700,
2024-08-27,139900,142000,142300,138200,57952,8100564700,0,0.0,N,5,-600,
2024-08-28,135500,138700,139600,132200,98607,13319806300,0,0.0,N,5,-4400,
2024-08-29,136300,136800,138600,135000,44676,6117490200,0,0.0,N,2,800,
2024-08-30,135100,137500,138100,134300,57390,7799251600,0,0.0,N,5,-1200,
2024-09-02,134800,135100,136300,133600,33923,4577955800,0,0.0,N,5,-300,
2024-09-03,136700,134800,137900,134500,40514,5531459600,0,0.0,N,2,1900,
2024-09-04,132400,135200,135300,130900,61429,8148900100,0,0.0,N,5,-4300,
2024-09-05,134600,132500,137500,132500,58391,7897091800,0,0.0,N,2,2200,
2024-09-06,131900,136000,136000,131500,50624,6735912500,0,0.0,N,5,-2700,
2024-09-09,133400,130100,134400,127500,50413,6573211200,0,0.0,N,2,1500,
2024-09-10,132100,133500,135600,131200,32220,4302961400,0,0.0,N,5,-1300,
2024-09-11,125100,132100,132700,123800,88794,11274140200,0,0.0,N,5,-7000,
2024-09-12,127700,125800,128500,125200,70073,8914519100,0,0.0,N,2,2600,
2024-09-13,130000,129000,131500,128100,50689,6577698400,0,0.0,N,2,2300,
2024-09-19,131600,132100,132800,129200,61018,8030601100,0,0.0,N,2,1600,
2024-09-20,132000,132900,133600,129000,73487,9698952300,0,0.0,N,2,400,
2024-09-23,133000,132000,135700,131200,45900,6146544300,0,0.0,N,2,1000,
2024-09-24,135600,135500,138000,133000,79855,10757878600,0,0.0,N,2,2600,
2024-09-25,130600,137400,137500,130600,74066,9893529200,0,0.0,N,5,-5000,
2024-09-26,134600,132100,135700,131900,56004,7496526400,0,0.0,N,2,4000,
2024-09-27,136200,134600,137700,132100,65516,8932266900,0,0.0,N,2,1600,
2024-09-30,130000,137000,137600,130000,82312,10817656400,0,0.0,N,5,-6200,
2024-10-02,130900,129800,133100,128000,62614,8213918100,0,0.0,N,2,900,
2024-10-04,134500,132300,135200,130200,60040,7976465600,0,0.0,N,2,3600,
2024-10-07,134000,133200,134900,131200,42869,5726328600,0,0.0,N,5,-500,
2024-10-08,131000,133300,133400,129600,55990,7365658800,0,0.0,N,5,-3000,
2024-10-10,132800,132400,136400,131300,95327,12754552100,0,0.0,N,2,1800,
2024-10-11,132000,133600,134800,131300,35940,4776133500,0,0.0,N,5,-800,
2024-10-14,138200,132000,139800,131700,119209,16371440100,0,0.0,N,2,6200,
2024-10-15,137100,138100,139100,135700,59602,8220434600,0,0.0,N,5,-1100,
2024-10-16,139000,135500,140700,135500,58784,8164260900,0,0.0,N,2,1900,
2024-10-17,136300,138200,140200,136300,35780,4938433100,0,0.0,N,5,-2700,
2024-10-18,137800,137600,138700,136400,32186,4429172900,0,0.0,N,2,1500,
2024-10-21,136100,138700,138800,135200,32706,4456606600,0,0.0,N,5,-1700,
2024-10-22,137200,135000,137700,135000,43896,5997451200,0,0.0,N,2,1100,
2024-10-23,135800,138100,138100,135400,34490,4711190300,0,0.0,N,5,-1400,
2024-10-24,135900,135500,141300,134000,50951,6992201900,0,0.0,N,2,100,
2024-10-25,134700,134700,140500,134700,65341,8938213400,0,0.0,N,5,-1200,
2024-10-28,134700,135900,136000,133500,47321,6355555500,0,0.0,N,3,0,
