date,close,open,high,low,volume,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
2024-04-01,16380,16250,16540,16250,85737,1403987820,0,0.0,N,2,30,
2024-04-02,16190,16310,16410,15870,117040,1880314150,0,0.0,N,5,-190,
2024-04-03,15640,16000,16130,15560,107576,1697160830,0,0.0,N,5,-550,
2024-04-04,15880,15640,16040,15570,85421,1347921600,0,0.0,N,2,240,
2024-04-05,15800,15770,15860,15590,64505,1012474200,0,0.0,N,5,-80,
2024-04-08,15630,15890,15890,15400,97570,1513754400,0,0.0,N,5,-170,
2024-04-09,16470,15630,16780,15630,219212,3556493250,0,0.0,N,2,840,
2024-04-11,16010,16150,16400,15900,147148,2369863960,0,0.0,N,5,-460,
2024-04-12,15560,15980,16250,15560,108249,1713564570,0,0.0,N,5,-450,
2024-04-15,15810,15410,15930,15260,137309,2151338490,0,0.0,N,2,250,
2024-04-16,15040,15520,15690,14990,131400,2002245750,0,0.0,N,5,-770,
2024-04-17,14920,15270,15410,14900,115448,1743691250,0,0.0,N,5,-120,
2024-04-18,15200,14910,15270,14910,78341,1183268290,0,0.0,N,2,280,
2024-04-19,15020,15070,15190,14720,105228,1572370340,0,0.0,N,5,-180,
2024-04-22,14900,15170,15170,14790,102715,1533143270,0,0.0,N,5,-120,
2024-04-23,14720,14900,15000,14720,90759,1342595500,0,0.0,N,5,-180,
2024-04-24,14960,14890,15040,14870,66003,986590700,0,0.0,N,2,240,
2024-04-25,14990,14870,15230,14870,57512,866862410,0,0.0,N,2,30,
2024-04-26,15090,15040,15220,14960,61651,929099660,0,0.0,N,2,100,
2024-04-29,15630,15080,15630,15080,107042,1655936990,0,0.0,N,2,540,
2024-04-30,15670,15580,15750,15460,79821,1245282290,0,0.0,N,2,40,
2024-05-02,17770,15630,18800,15620,1789896,31857459940,0,0.0,N,2,2100,
2024-05-03,17160,17670,17720,17110,397675,6901922280,0,0.0,N,5,-610,
2024-05-07,17150,17270,17560,17020,246160,4241355970,0,0.0,N,5,-10,
2024-05-08,17250,17100,17360,16910,169030,2894656270,0,0.0,N,2,100,
2024-05-09,17550,17250,17920,17110,473790,8380359790,0,0.0,N,2,300,
2024-05-10,17420,17600,17720,17120,249188,4333904640,0,0.0,N,5,-130,
2024-05-13,17510,17430,17930,17390,206119,3629447740,0,0.0,N,2,90,
2024-05-14,18030,17510,18190,17390,235916,4219232570,0,0.0,N,2,520,
2024-05-16,17180,18100,18280,17170,263210,4622228860,0,0.0,N,5,-850,
2024-05-17,17040,17390,17550,16900,165118,2844727770,0,0.0,N,5,-140,
2024-05-20,17070,17090,17330,16840,88783,1513249910,0,0.0,N,2,30,
2024-05-21,17100,16990,17240,16950,93363,1594886750,0,0.0,N,2,30,
