date,close,open,high,low,volume,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
2024-04-01,86600,88400,88600,86200,175392,15296587500,0,0.0,N,5,-900,
2024-04-02,85500,85200,86300,84800,212341,18157507200,0,0.0,N,5,-1100,
2024-04-03,82200,84500,84500,81300,373280,30790923000,0,0.0,N,5,-3300,
2024-04-04,82300,83200,83600,81600,305063,25146522400,0,0.0,N,2,100,
2024-04-05,80100,80500,81500,78700,463078,37066529500,0,0.0,N,5,-2200,
2024-04-08,80600,80700,81000,79600,221875,17845531500,0,0.0,N,2,500,
2024-04-09,80800,81600,82000,80700,378747,30748163472,0,0.0,N,2,200,
2024-04-11,79600,78600,80600,77500,359357,28525971427,0,0.0,N,5,-1200,
2024-04-12,77600,78900,80100,77400,421932,32885586100,0,0.0,N,5,-2000,
2024-04-15,77100,76900,78100,76000,274880,21151588500,0,0.0,N,5,-500,
2024-04-16,77000,76400,77700,75500,266193,20452869796,0,0.0,N,5,-100,
2024-04-17,76100,77500,78300,75800,355634,27426161300,0,0.0,N,5,-900,
2024-04-18,76200,76100,76800,73900,457818,34661107479,0,0.0,N,2,100,
2024-04-19,75500,75100,76000,74800,245639,18505995300,0,0.0,N,5,-700,
2024-04-22,79000,77000,79900,76600,272294,21470882700,0,0.0,N,2,3500,
2024-04-23,79200,79100,80500,78500,156862,12461953400,0,0.0,N,2,200,
2024-04-24,79100,80700,81300,79000,127404,10158904500,0,0.0,N,5,-100,
2024-04-25,77900,78100,79000,77900,135072,10566678500,0,0.0,N,5,-1200,
2024-04-26,78900,78200,79600,77800,111546,8812167700,0,0.0,N,2,1000,
2024-04-29,80200,80300,81000,79600,152404,12260182400,0,0.0,N,2,1300,
2024-04-30,79400,80000,80600,79200,259196,20638324444,0,0.0,N,5,-800,
2024-05-02,77800,78800,79100,77700,170539,13316464600,0,0.0,N,5,-1600,
2024-05-03,77100,78700,78800,77000,207760,16088186200,0,0.0,N,5,-700,
2024-05-07,79500,78100,79700,78000,255616,20252941900,0,0.0,N,2,2400,
2024-05-08,79900,80200,80300,79400,142167,11351775100,0,0.0,N,2,400,
2024-05-09,79100,80300,80300,78900,182517,14503236200,0,0.0,N,5,-800,
2024-05-10,79800,80200,80900,79700,378174,30424328200,0,0.0,N,2,700,
2024-05-13,81000,80500,81200,79900,184044,14865118000,0,0.0,N,2,1200,
2024-05-14,80500,81000,81200,80100,218244,17581660100,0,0.0,N,5,-500,
2024-05-16,81000,82400,82800,80700,263759,21521039100,0,0.0,N,2,500,
2024-05-17,81000,81000,81500,80700,239817,19446590250,0,0.0,N,3,0,
2024-05-20,81100,82000,82100,80800,181396,14743180150,0,0.0,N,2,100,
2024-05-21,80500,80300,81400,79500,284239,22885071075,0,0.0,N,5,-600,
2024-05-22,81000,79800,81700,79700,247895,20050227900,0,0.0,N,2,500,
2024-05-23,80600,80400,81200,80200,133393,10758190600,0,0.0,N,5,-400,
2024-05-24,78400,79700,80600,78400,210423,16596113100,0,0.0,N,5,-2200,
2024-05-27,79900,78700,80500,78700,129686,10355162300,0,0.0,N,2,1500,
2024-05-28,81400,79200,82000,79200,229888,18678501800,0,0.0,N,2,1500,
2024-05-29,81500,80600,82600,80500,238111,19470220800,0,0.0,N,2,100,
2024-05-30,81100,81000,82100,80600,141487,11519455600,0,0.0,N,5,-400,
2024-05-31,81300,81900,82500,80300,503669,40980836600,0,0.0,N,2,200,
2024-06-03,81700,81300,82200,81200,154536,12644962300,0,0.0,N,2,400,
2024-06-04,79000,81800,82400,78900,216503,17315140500,0,0.0,N,5,-2700,
2024-06-05,79600,80000,80400,79100,154024,12281481600,0,0.0,N,2,600,
2024-06-07,81300,80400,81500,79800,206024,16630546900,0,0.0,N,2,1700,
2024-06-10,80500,80500,81400,79800,130925,10548816800,0,0.0,N,5,-800,
2024-06-11,79800,80700,81000,79500,135828,10863023372,0,0.0,N,5,-700,
2024-06-12,83000,80300,83100,80300,270712,22303163500,0,0.0,N,2,3200,
2024-06-13,81400,83200,85300,81400,351352,29108184400,0,0.0,N,5,-1600,
2024-06-14,80000,80900,81600,79700,311687,25013240800,0,0.0,N,5,-1400,
2024-06-17,80400,79900,80400,79500,114414,9151848200,0,0.0,N,2,400,
2024-06-18,79500,80600,80700,79500,123816,9895307300,0,0.0,N,5,-900,
2024-06-19,81700,80400,82400,80100,233076,18941467700,0,0.0,N,2,2200,
2024-06-20,81800,81700,81800,80400,184675,15012098000,0,0.0,N,2,100,
2024-06-21,82500,81600,82500,81200,324453,26686999700,0,0.0,N,2,700,
2024-06-24,80600,82500,82900,80600,133587,10878377200,0,0.0,N,5,-1900,
2024-06-25,81800,81500,81900,80700,118366,9641133500,0,0.0,N,2,1200,
