date,close,open,high,low,volume,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
2025-07-29,17550,23750,25350,16730,17079617,356265301090,0,0.0,N,2,3550,
2025-07-30,16400,18280,18530,15840,3115708,53168195200,0,0.0,N,5,-1150,
2025-07-31,15250,16440,17010,15030,1548067,24728025935,0,0.0,N,5,-1150,
2025-08-01,13800,14980,15270,13800,742013,10609291135,0,0.0,N,5,-1450,
2025-08-04,17110,13650,17940,13560,8024762,132693916980,0,0.0,N,2,3310,
2025-08-05,17250,17740,18550,16040,4798341,83648101410,0,0.0,N,2,140,
2025-08-06,18840,17740,20100,17530,9593304,182967618405,0,0.0,N,2,1590,
2025-08-07,18050,18340,19100,17190,1657918,30292351485,0,0.0,N,5,-790,
2025-08-08,19000,18450,20000,18390,3483389,67397802020,0,0.0,N,2,950,
2025-08-11,18120,18950,19430,17610,945712,17700410880,0,0.0,N,5,-880,
2025-08-12,19730,17990,20950,17600,7998586,159082273405,0,0.0,N,2,1610,
2025-08-13,19500,19480,21350,18890,3158982,64223371300,0,0.0,N,5,-230,
2025-08-14,18660,19610,20850,18540,1756702,34758025335,0,0.0,N,5,-840,
2025-08-18,18830,18660,19750,18570,908310,17237062885,0,0.0,N,2,170,
2025-08-19,17230,18880,19550,17100,643696,11603799460,0,0.0,N,5,-1600,
2025-08-20,17300,16700,17840,15520,596766,9964888380,0,0.0,N,2,70,
2025-08-21,16550,17300,17970,16460,334609,5768570510,0,0.0,N,5,-750,
2025-08-22,16800,16800,17160,16070,258992,4286415080,0,0.0,N,2,250,
2025-08-25,16240,16840,17060,16240,254356,4214187165,0,0.0,N,5,-560,
2025-08-26,15540,15970,16290,15540,163369,2580604005,0,0.0,N,5,-700,
2025-08-27,15470,15550,16550,15150,364912,5765090040,0,0.0,N,5,-70,
2025-08-28,15300,15500,16210,15110,169237,2614415800,0,0.0,N,5,-170,
2025-08-29,17500,15280,17510,14200,1963114,32871005725,0,0.0,N,2,2200,
2025-09-01,18070,17610,18400,17280,1250923,22528970140,0,0.0,N,2,570,
2025-09-02,17930,18150,18250,17740,589194,10616859535,0,0.0,N,5,-140,
2025-09-03,19730,17950,21400,17610,4097467,81604157100,0,0.0,N,2,1800,
2025-09-04,24600,20850,25600,20600,9510976,228958310925,0,0.0,N,2,4870,
2025-09-05,26100,24300,27900,23250,5852483,150591631950,0,0.0,N,2,1500,
2025-09-08,26600,25950,26850,25550,1731451,45454601775,0,0.0,N,2,500,
2025-09-09,25500,26500,27150,24400,1550078,40245909550,0,0.0,N,5,-1100,
2025-09-10,26350,25650,30250,25650,6513458,184484843875,0,0.0,N,2,850,
2025-09-11,23100,25350,25350,22850,2799591,66690161800,0,0.0,N,5,-3250,
2025-09-12,23800,23300,24400,22100,1757807,41156719975,0,0.0,N,2,700,
2025-09-15,30150,23550,30900,23550,6950014,199693182100,0,0.0,N,2,6350,
2025-09-16,33300,30700,35500,30550,5399149,179892522800,0,0.0,N,2,3150,
2025-09-17,33700,32800,34850,32000,1757417,59036771025,0,0.0,N,2,400,
2025-09-18,34500,33700,35050,32200,774984,26107141000,0,0.0,N,2,800,
2025-09-19,33300,34500,35000,32550,418023,14130507450,0,0.0,N,5,-1200,
2025-09-22,33400,32850,34250,31000,449607,14774377250,0,0.0,N,2,100,
2025-09-23,43400,34400,43400,34150,1648775,67683107025,0,0.0,N,1,10000,
2025-09-24,43550,41750,47850,39550,2250994,97862089300,0,0.0,N,2,150,
2025-09-25,42750,43000,45600,41300,716505,31297220300,0,0.0,N,5,-800,
2025-09-26,41400,42750,47000,40900,776573,34156404275,0,0.0,N,5,-1350,
2025-09-29,45500,40800,45800,40200,888456,39033473075,0,0.0,N,2,4100,
2025-09-30,44500,45050,46550,43650,448141,20101772350,0,0.0,N,5,-1000,
2025-10-01,46450,45500,48500,44250,621915,28494543550,0,0.0,N,2,1950,
2025-10-02,46150,46700,47000,44800,383585,17598285250,0,0.0,N,5,-300,
2025-10-10,55800,47000,58900,47000,1519990,82675240250,0,0.0,N,2,9650,
2025-10-13,57500,54900,60200,54400,809109,46626316200,0,0.0,N,2,1700,
2025-10-14,51000,58000,58800,48800,826775,43716838100,0,0.0,N,5,-6500,
2025-10-15,54400,51800,55600,46650,1239554,63429387725,0,0.0,N,2,3400,
2025-10-16,47850,54700,56700,47750,866889,44729260025,0,0.0,N,5,-6550,
2025-10-17,44550,47100,50400,43900,849358,39631111300,0,0.0,N,5,-3300,
2025-10-20,49400,46000,52400,45100,1361149,67286703675,0,0.0,N,2,4850,
2025-10-21,48100,50200,51200,46800,574806,27844764875,0,0.0,N,5,-1300,
2025-10-22,49450,48550,50900,46500,738530,36076772100,0,0.0,N,2,1350,
2025-10-23,47550,49450,50800,47400,478744,23519723325,0,0.0,N,5,-1900,
2025-10-24,45250,48200,49600,45250,517488,24742310625,0,0.0,N,5,-2300,
2025-10-27,50700,45650,52200,43950,979246,48127195175,0,0.0,N,2,5450,
2025-10-28,53500,51200,56000,49500,1365982,73451906550,0,0.0,N,2,2800,
2025-10-29,56800,53000,60700,51500,1763055,99665095750,0,0.0,N,2,3300,
2025-10-30,63000,56800,67200,55600,1937850,122009163500,0,0.0,N,2,6200,
2025-10-31,63400,65000,66300,61200,724688,45942046650,0,0.0,N,2,400,
2025-11-03,68900,65000,71100,64000,1004699,67932026600,0,0.0,N,2,5500,
2025-11-04,69800,69100,71000,67200,671337,46679025600,0,0.0,N,2,900,
2025-11-05,67700,69800,70900,62200,1405935,93268925250,0,0.0,N,5,-2100,
2025-11-06,64100,71000,74400,64100,1103243,76697740300,0,0.0,N,5,-3600,
2025-11-07,65400,61500,70500,61400,1103033,74052362800,0,0.0,N,2,1300,
2025-11-10,65400,67000,67700,64000,490221,32229959100,0,0.0,N,3,0,
2025-11-11,62700,66500,66800,61950,562969,35847732700,0,0.0,N,5,-2700,
2025-11-12,67900,65200,68800,63500,1056717,69826344900,0,0.0,N,2,5200,
2025-11-13,63800,69000,69000,63600,745093,48277604500,0,0.0,N,5,-4100,
2025-11-14,59200,62500,64900,59100,763023,46735117150,0,0.0,N,5,-4600,
2025-11-17,65000,60300,67900,56600,1350325,86691536350,0,0.0,N,2,5800,
2025-11-18,66100,65900,67500,63200,799965,52473873200,0,0.0,N,2,1100,
2025-11-19,66800,65000,70500,63100,1222081,82614171650,0,0.0,N,2,700,
2025-11-20,67600,67100,69800,66100,553287,37391221300,0,0.0,N,2,800,
2025-11-21,67700,64300,68500,64200,539870,35772545200,0,0.0,N,2,100,
2025-11-24,66500,68800,68800,61900,706170,45628113100,0,0.0,N,5,-1200,
2025-11-25,69800,66500,72800,65700,1808106,126355321900,0,0.0,N,2,3300,
2025-11-26,80000,70400,86000,69500,3545684,279516022750,0,0.0,N,2,10200,
2025-11-27,76200,80200,81200,75600,975758,76724563300,0,0.0,N,5,-3800,
2025-11-28,78600,76800,79400,74900,970748,74968309800,0,0.0,N,2,2400,
2025-12-01,80900,78600,82700,77900,852778,68624229100,0,0.0,N,2,2300,
2025-12-02,98000,81800,103600,80900,4746238,440747833350,0,0.0,N,2,17100,
2025-12-03,93900,97400,101300,92800,1259795,121052131400,0,0.0,N,5,-4100,
2025-12-04,104300,92500,112500,90500,3145184,320209809250,0,0.0,N,2,10400,
2025-12-05,98700,104700,105600,96600,1164988,116589670250,0,0.0,N,5,-5600,
2025-12-08,91800,99500,103500,89600,1033560,97811366450,0,0.0,N,5,-6900,
2025-12-09,92400,92500,95100,89800,632810,58648091050,0,0.0,N,2,600,
2025-12-10,91300,92300,94100,90200,448566,41212853650,0,0.0,N,5,-1100,
2025-12-11,95700,91800,99000,91100,1002494,96466203450,0,0.0,N,2,4400,
2025-12-12,95600,96200,100300,93000,612113,59338273550,0,0.0,N,5,-100,
2025-12-15,101100,95000,102000,92700,657156,64356112400,0,0.0,N,2,5500,
2025-12-16,99100,104000,114300,94500,2000935,210263462100,0,0.0,N,5,-2000,
2025-12-17,90700,99300,99300,90100,865602,80913592550,0,0.0,N,5,-8400,
2025-12-18,94600,87300,97000,87200,861647,81001761100,0,0.0,N,2,3900,
2025-12-19,96300,94600,101300,92000,756997,73722583550,0,0.0,N,2,1700,
2025-12-22,100300,97700,101400,93100,626616,61017737500,0,0.0,N,2,4000,
2025-12-23,100300,100100,102400,97000,441376,44121940850,0,0.0,N,3,0,
2025-12-24,107500,100100,111400,98600,1216788,129061966900,0,0.0,N,2,7200,
2025-12-26,111600,106700,111700,104500,793437,85904464950,0,0.0,N,2,4100,
2025-12-29,111800,111800,120100,109400,810739,92877728950,0,0.0,N,2,200,
2025-12-30,110600,111800,113800,109000,328717,36515650800,0,0.0,N,5,-1200,
2026-01-02,101500,109700,113100,101000,334559,35212202450,0,0.0,N,5,-9100,
2026-01-05,100800,98600,104400,96000,363719,36628930000,0,0.0,N,5,-700,
2026-01-06,95300,101100,106700,94000,349935,34758130700,0,0.0,N,5,-5500,
2026-01-07,90800,95300,95500,89400,538929,48867353500,0,0.0,N,5,-4500,
2026-01-08,92700,94000,95000,92200,239486,22413456800,0,0.0,N,2,1900,
2026-01-09,95200,94000,95200,90900,268139,24949534150,0,0.0,N,2,2500,
2026-01-12,92300,94500,97100,91100,278285,26090312450,0,0.0,N,5,-2900,
2026-01-13,94200,99100,102000,92500,492408,47709494100,0,0.0,N,2,1900,
2026-01-14,89400,95000,95200,85600,273439,24721691900,0,0.0,N,5,-4800,
2026-01-15,87600,87500,91000,85400,374837,32769794300,0,0.0,N,5,-1800,
2026-01-16,85300,85800,89000,82500,351507,30056911650,0,0.0,N,5,-2300,
2026-01-19,85600,86300,87400,84600,128674,11017061950,0,0.0,N,2,300,
2026-01-20,83500,85700,86500,82500,229012,19325289300,0,0.0,N,5,-2100,
2026-01-21,75900,80600,81000,73500,516297,39212940900,0,0.0,N,5,-7600,
2026-01-22,78000,78800,80100,73800,294829,22814367200,0,0.0,N,2,2100,
2026-01-23,83300,79000,83900,78000,236119,19185440500,0,0.0,N,2,5300,
2026-01-26,87100,83800,88900,82700,283811,24618066750,0,0.0,N,2,3800,
2026-01-27,85600,86800,88500,84200,188954,16188059850,0,0.0,N,5,-1500,
2026-01-28,81000,83900,84000,80300,315261,25727470350,0,0.0,N,5,-4600,
2026-01-29,82000,79800,82700,77500,234646,18868054800,0,0.0,N,2,1000,
2026-01-30,78700,81500,81500,77000,250863,19696392650,0,0.0,N,5,-3300,
2026-02-02,75300,77000,80300,74300,140979,10868430450,0,0.0,N,5,-3400,
2026-02-03,81500,77400,83900,76800,210235,17115828250,0,0.0,N,2,6200,
2026-02-04,80500,80800,82200,78400,152648,12210205000,0,0.0,N,5,-1000,
2026-02-05,78100,81400,82400,77100,143229,11343435450,0,0.0,N,5,-2400,
2026-02-06,72300,73100,75000,70200,201394,14453922150,0,0.0,N,5,-5800,
2026-02-09,75900,73900,76400,72500,102817,7651824500,0,0.0,N,2,3600,
2026-02-10,75900,75000,76900,74400,101023,7663252800,0,0.0,N,3,0,
2026-02-11,73000,75900,78500,72900,154203,11620588150,0,0.0,N,5,-2900,
2026-02-12,73400,73000,74400,71300,84277,6151337500,0,0.0,N,2,400,
2026-02-13,70000,73000,73000,69100,157050,11095756100,0,0.0,N,5,-3400,
2026-02-19,73200,68900,73200,67000,139888,9798824250,0,0.0,N,2,3200,
2026-02-20,67400,71000,72000,66900,215686,14740073000,0,0.0,N,5,-5800,
2026-02-23,75300,67600,76200,66000,296792,21491052900,0,0.0,N,2,7900,
2026-02-24,79500,74800,80900,74200,295133,23356955850,0,0.0,N,2,4200,
2026-02-25,77800,79400,79800,77300,168418,13187821700,0,0.0,N,5,-1700,
2026-02-26,79300,78000,80600,76800,176539,14056812900,0,0.0,N,2,1500,
2026-02-27,82100,83100,83900,80000,188480,15532298700,0,0.0,N,2,2800,
2026-03-03,77400,78800,82300,77000,178075,14064996050,0,0.0,N,5,-4700,
2026-03-04,62000,70500,73400,60900,196748,13121888450,0,0.0,N,5,-15400,
2026-03-05,70400,67200,72900,67200,107166,7499345400,0,0.0,N,2,8400,
2026-03-06,78100,71000,79500,69000,158861,11992479100,0,0.0,N,2,7700,
2026-03-09,71000,71800,72600,67900,134411,9444438050,0,0.0,N,5,-7100,
2026-03-10,73100,74600,75100,70700,114153,8304755900,0,0.0,N,2,2100,
2026-03-11,78200,78800,82600,75400,307762,24467757400,0,0.0,N,2,5100,
2026-03-12,84300,78200,86000,77800,398296,33167386200,0,0.0,N,2,6100,
2026-03-13,85000,80900,86800,80000,298579,25430713050,0,0.0,N,2,700,
2026-03-16,90800,88700,91500,83900,466387,41629234700,0,0.0,N,2,5800,
2026-03-17,85900,89700,90000,85500,222817,19572223600,0,0.0,N,5,-4900,
2026-03-18,86100,87800,88100,80400,309028,25868262100,0,0.0,N,2,200,
2026-03-19,81800,83600,85000,80900,131243,10821007950,0,0.0,N,5,-4300,
2026-03-20,80900,79800,82900,77600,166840,13340616900,0,0.0,N,5,-900,
