date,close,open,high,low,volume,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
2024-04-01,21100,20150,21400,19920,238556,4988108140,0,0.0,N,2,1110,
2024-04-02,21200,20850,21500,20800,186817,3975860300,0,0.0,N,2,100,
2024-04-03,21350,21200,21750,20800,250434,5347175500,0,0.0,N,2,150,
2024-04-04,20950,21700,21700,20850,118829,2509671350,0,0.0,N,5,-400,
2024-04-05,20450,20600,20800,20050,162081,3312388150,0,0.0,N,5,-500,
2024-04-08,20500,20300,21000,20200,54789,1132667800,0,0.0,N,2,50,
2024-04-09,20450,20800,20800,20400,38321,788089950,0,0.0,N,5,-50,
2024-04-11,20100,20250,20750,20100,68448,1391481900,0,0.0,N,5,-350,
2024-04-12,19610,20150,20200,19330,240424,4715967780,0,0.0,N,5,-490,
2024-04-15,19270,19490,19590,19270,40490,784466050,0,0.0,N,5,-340,
2024-04-16,19110,18850,19260,18500,107974,2043077300,0,0.0,N,5,-160,
2024-04-17,20400,19120,20700,19000,156839,3154932050,0,0.0,N,2,1290,
2024-04-18,20700,20350,21250,20350,103101,2148656350,0,0.0,N,2,300,
2024-04-19,20550,20550,21150,20400,94346,1965756400,0,0.0,N,5,-150,
2024-04-22,21350,21400,21500,20700,128116,2719187850,0,0.0,N,2,800,
2024-04-23,20950,21100,21350,20550,69652,1455730250,0,0.0,N,5,-400,
2024-04-24,20950,21050,21050,20650,69744,1454125150,0,0.0,N,3,0,
2024-04-25,20850,20600,21100,20600,38098,797665150,0,0.0,N,5,-100,
2024-04-26,20800,21000,21000,20700,31301,653042400,0,0.0,N,5,-50,
2024-04-29,21850,20900,21850,20850,90661,1950900800,0,0.0,N,2,1050,
2024-04-30,21650,21850,21900,21500,54420,1177222900,0,0.0,N,5,-200,
2024-05-02,21400,21350,21900,21300,46278,996125900,0,0.0,N,5,-250,
2024-05-03,21500,21750,21750,21200,29853,642036250,0,0.0,N,2,100,
2024-05-07,21600,21700,21750,20850,92488,1972187150,0,0.0,N,2,100,
2024-05-08,21800,21600,22350,21450,119261,2620559000,0,0.0,N,2,200,
2024-05-09,21750,21800,22600,21550,154142,3403721850,0,0.0,N,5,-50,
2024-05-10,21800,21850,22200,21700,49638,1086922100,0,0.0,N,2,50,
2024-05-13,21500,21800,21800,21250,50120,1075601100,0,0.0,N,5,-300,
2024-05-14,21650,21300,21850,21300,44343,955708600,0,0.0,N,2,150,
2024-05-16,22200,21700,22400,21400,121834,2672626500,0,0.0,N,2,550,
2024-05-17,22300,22300,22550,21950,76582,1702114300,0,0.0,N,2,100,
2024-05-20,22250,22550,22600,22050,45002,999062850,0,0.0,N,5,-50,
2024-05-21,21450,22050,22050,21450,37895,821998050,0,0.0,N,5,-800,
2024-05-22,20650,21500,21750,20600,110884,2313507050,0,0.0,N,5,-800,
2024-05-23,20050,20600,20650,20050,88152,1783968250,0,0.0,N,5,-600,
2024-05-24,20150,20050,20900,19850,116187,2366272320,0,0.0,N,2,100,
2024-05-27,20250,20450,20450,19920,51123,1026595250,0,0.0,N,2,100,
2024-05-28,20300,20250,20600,19990,48755,991482350,0,0.0,N,2,50,
2024-05-29,20250,20150,20400,20000,61090,1229363000,0,0.0,N,5,-50,
2024-05-30,20250,20800,20850,20100,79842,1631604950,0,0.0,N,3,0,
2024-05-31,23600,21700,25350,21700,2853284,67707211050,0,0.0,N,2,3350,
2024-06-03,23150,23600,24100,22950,514264,12048812050,0,0.0,N,5,-450,
2024-06-04,22050,23050,23150,21950,285816,6434360550,0,0.0,N,5,-1100,
2024-06-05,21000,22000,22000,20950,232317,4945552850,0,0.0,N,5,-1050,
2024-06-07,21300,20900,21700,20800,181971,3881069250,0,0.0,N,2,300,
2024-06-10,20650,21300,21500,20550,151597,3151735150,0,0.0,N,5,-650,
2024-06-11,20900,20700,21250,20700,109875,2313565100,0,0.0,N,2,250,
2024-06-12,21000,20950,21150,20600,70660,1471238400,0,0.0,N,2,100,
2024-06-13,20850,20850,21150,20800,75639,1584382100,0,0.0,N,5,-150,
2024-06-14,20900,20800,21250,20250,172700,3595510400,0,0.0,N,2,50,
2024-06-17,21700,21150,21700,20800,118088,2527107600,0,0.0,N,2,800,
2024-06-18,21050,21900,21950,20850,216677,4620584850,0,0.0,N,5,-650,
2024-06-19,20800,21300,21500,20700,97744,2045793050,0,0.0,N,5,-250,
2024-06-20,20900,20750,21100,20650,74828,1560910350,0,0.0,N,2,100,
2024-06-21,20500,20900,20950,20400,110305,2267356400,0,0.0,N,5,-400,
2024-06-24,20100,20600,20700,20000,120078,2420662850,0,0.0,N,5,-400,
2024-06-25,20450,20300,20550,20000,101810,2066858550,0,0.0,N,2,350,
2024-06-26,20050,20300,20450,19930,79088,1590189550,0,0.0,N,5,-400,
